DBpediaProperty	#tables
name	3645104
category	3489397
binary	3579000
varbinary	35700
nominal	3999990
city	2484069
age	2205379
date	2168479
title	1538149
description	1510237
size	1225375
location	1032050
type	955059
year	853473
modelname	2529000
model	843211
rating	591323
artist	579331
rank	578530
album	557798
address	507539
day	438331
distance	426854
team	406040
author	369922
result	369457
length	357595
idcolumn	354066
id	354066
uuid	354066
identifier	354064
uniqueidentifier	354064
key	354065
uniquely	354065
unique	354000
status	335030
definition	329851
order	320380
opponent	311000
normalized	258100
money	257500
categorical	2573000
predicted	250900
datetime	2587000
percentage	2595000
numerical>=0	2594000
numerical	2593000
date and time	259100
day and time	258900
date time	258500
numeric	258300
integer	254300
num	254100
mediumint	254000
enum	250000
float	250000
double	250000
smallint	250000
tinyint	250000
boolean	257700
qualitative	257100
continuous	255100
char	255000
varchar	254900
url	2513000
ip	2513000
internet protocol	244700
www	2513000
http	2513000
home page	251000
homepage	251000
web page	251000
webpage	251000
web	251000
target	250700
weekday	2489000
day of week	246300
day of the week	246100
birthdate	248100
birthday	247900
date of birth	248700
latitude	2497000
longitude	2495000
ph	2493000
timestamp	246900
time	2467000
hour	2503000
week	2457000
street	2455000
zip	245300
email	2451000
e mail	244900
mail	244900
phone	2437000
quantitative	242900
cellphone	244500
fax	244300
mobile	244100
mobile phone	243900
telephone	243500
nr	242100
product	284324
country	268419
state	265113
company	262098
format	258035
dec	245609
varchar	245600
char	204550
nvarchar	245400
nchar	204300
manufacturer	243252
comment	241814
brand	219077
symbol	205975
code	202964
event	202949
school	179692
position	166814
college	158124
network	157498
topic	155321
height	149351
style	148874
notes	146931
weight	146227
genre	140516
duration	140065
affiliate	132612
class	129508
club	126731
part	126632
region	120232
gender	110315
engine	107484
publisher	106236
updated	105668
added	92717
language	90642
filename	90537
service	80689
lyrics	80052
source	79352
population	78233
number	75919
cost	74989
county	74031
area	70452
destination	69091
layout	68652
season	66149
note	65837
origin	65565
role	64647
associate	60223
width	60063
party	58451
release date	57340
license	56205
tu	55803
isbn	54249
developer	53721
features	52458
map	49661
film	49513
sex	48945
free	48563
family	48151
month	478880
jockey	45674
race	44208
owner	44123
picture	43287
material	43251
power	42180
designer	41881
volume	41630
feature	41254
director	41031
domain	40623
channel	40121
district	40050
wins	39849
series	39472
capacity	39111
nation	38759
cuisine	37809
range	37217
currency	36820
course	36133
member	35925
resolution	35483
