1st: first
2nd: second
3rd: third
4th: fourth
5th: fifth
6th: sixth
7th: seventh
8th: eighth
9th: ninth
10th: tenth
abbrev: abbreviation
abdnt: abandonment
abndnd: abandoned
abs: absolute
acc: account
accg: accounting
accredit: accreditation
accy: accessibility
acous: acoustics
acq: acquired
acrn: acronym
acte: acute
acust: acoustics
add: address
addict: addiction
addr: address
addre: address
admin: administrator
advsry: advisory
aero: aerospace
afdble: affordable
affiliatn: affiliation
affirmatn: affirmation
affltd: affiliated
afrcn: african
agg: aggregate
aggr: aggregate
agri: agriculture
alch: alcohol
alg: algebra
algebr: algebra
align: alignment
alloc: allocation
allotmnt: allotment
alt: alternative
amendmnt: amendment
amndd: amended
amt: amount
anal: analysis
anat: anatomy
anim: animation
anlys: analysis
ann: annual
annu: annually
anthro: anthropology
appl: application
appnc: appearance
appntmnt: appointment
appt: appointment
apr: april
apt: apartment
arab: arabic
arch: architecture
assgnd: assigned
assistv: assistive
athlet: athletics
attach: attachment
attndng: attending
aug: august
auth: authentication
auto: automotive
avail: available
ave: avenue
bank: banking
baro: barometer
barometrc: barometric
bch: beach
bds: beds
beg: begin
behav: behavior
biochem: biochemistry
biog: biography
biomed: biomedical
biophys: biophysics
biotech: biotechnology
biz: business
bk: bike
bld: building
blk: block
bllng: billing
blr: boiler
blt: built
blvd: boulevard
bnft: benefit
bot: botany
bp: blood pressure
bse: base
bst: best
busn: business
bxng: boxing
calc: calculus
callr: caller
camp: camping
canc: cancer
cand: candidate
captn: caption
cardio: cardiology
carto: cartography
cat: category
categ: category
cd: code
cdt: credit
ceo: chief executive officer
cert: certification
certif: certification
cfo: chief financial officer
ch: channel
chem: chemistry
chg: change
chin: chinese
chrgs: charges
chrtr: charter
circt: circuit
circulatn: circulation
citatn: citation
cld: calendar
clt: client
cmt: complaint
cnditional: conditional
cndo: condo
cnr: corner
cnt: count
cntingency: contingency
cntr: counter
cntrast: contrast
cntrl: control
cnver: conversion
co: company
coll: college
com: community
comm: communication
comp: computing
compl: completed
compld: complied
complnc: compliance
complt: complete
compltn: completion
composit: composition
compsci: computer science
comptr: computer
con: contact
cond: condition
confid: confidence
confm: confirmed
conform: conformity
congressnal: congressional
consrvt: conservation
cont: contact
contct: contact
contrib: contributory
coo: chief organizational officer
cook: cooking
coop: cooperation
cooperat: cooperation
corr: correspondent
corrctns: corrections
cosmet: cosmetology
countr: country
cpn: campaign
creativ: creativity
crs: cross
crts: courts
cs: computer science
csh: cash
cst: cost
cstd: custodian
ct: count
ctct: contact
cto: chief technology officer
ctrl: control
ctry: country
cty: city
curr: currency
cust: customer
cvrd: covered
cycl: cycling
dbt: debt
dd: day
dec: decimal
declaratn: declaration
defct: deficit
defendnt: defendant
deg: degree
deliv: delivery
deman: demand
demog: demography
dendrol: dendrology
denls: denials
dentl: dental
departmntal: departmental
depend: dependence
dept: department
dermatol: dermatology
desc: description
descr: description
descrip: description
det: detail
detectble: detectable
dev: development
devc: device
develop: development
dgt: digit
dh: datehour
diam: diameter
dig: digital
dipl: diploma
diplom: diplomacy
dir: direction
dire: directions
direct: direction
dis: disabled
dist: distance
distr: district
distribtd: distributed
dive: diving
dob: date of birth
doc: document
doced: documented
dollr: dollar
dom: dominance
downld: download
dp: dupe
dq: data quality
dr: doctor
drn: drone
drvng: driving
drvr: driver
ds: description
dsgn: design
dspatch: dispatch
dsposed: disposed
dspute: dispute
dst: destination
dstnc: distance
dt: date
dur: duration
earnd: earned
eco: ecology
econ: economics
ed: edited
edu: education
ees: employees
elec: electricity
electn: election
electve: elective
elem: elementary
eligble: eligible
empl: employee
endo: endocrinology
eng: engineering
ent: entertainment
enth: enthusiasm
ento: entomology
env: environment
envsci: environmental science
epi: epidemiology
epist: epistemology
eq: equality
equip: equipment
estblshd: established
eth: ethnology
ethnc: ethnic
ety: etymology
evn: even
exhbt: exhibit
exp: experience
expec: expected
expect: expectancy
expl: explorer
expns: expenses
exst: exist
extns: extension
factrs: factors
fail: failure
fam: family
faq: frequently asked questions
fatl: fatal
fd: feed
feat: features
featr: feature
feb: february
fem: female
ferm: fermentation
fil: file
fin: finance
financ: financing
finnc: finance
fire: fire fighting
fish: fishing
fk: foreign key
fl: flag
fld: field
fll: full
flnm: filename
flr: filer
flt: flight
flu: influenza
flwr: flower
fn: fund
fndly: friendly
foc: focus
foodsci: food science
for: forestry
fr: fair
frcast: forecast
freq: frequency
frid: friday
frm: form
ft: feet
ftbl: football
ftg: footage
func: function
fund: funded
fxd: fixed
gal: gallery
garg: garage
gat: gate
gdn: garden
gdp: gross domestic product
gen: genetics
geo: geography
geom: geometry
geron: gerontology
gl: goal
gnd: ground
gr: grade
grad: graduation
grds: grades
grns: greens
grnt: grant
grp: group
gym: gymnastics
handl: handle
hardwr: hardware
hea: health
headln: headline
herp: herpetology
hgt: height
hik: hiking
hist: history
hll: hall
hm: home
hndc: handicap
hort: horticulture
hosp: hospitalizations
househld: household
hr: hour
hrd: hard
hrly: hourly
hrs: hours
hse: house
hum: humidity
hunt: hunting
hvy: heavy
hydro: hydrology
ich: ichthyology
idl: idle
ignitn: ignition
img: image
imm: immunology
imposd: imposed
imprvd: improved
inactve: inactive
inbnd: inbound
inc: income
incdns: incidents
incremnt: increment
inddes: industrial design
indep: independent
infdis: infectious diseases
infnt: infant
inspc: inspections
inspectr: inspector
instl: install
int: integer
intrel: international relations
intrm: interim
intro: introduction
intvl: interval
inv: inventory
invo: invoice
ip: internet protocol
ipv4: internet protocol
ipv6: internet protocol
iq: inteligence quotient
iss: issue
jan: january
jpn: japanese
jul: july
just: justice
kinem: kinematics
kines: kinesiology
knwl: knowledge
kor: korean
kph: kilometers per hour
lab: laboratory
lang: language
lat: latitude
latin: latino
lbl: label
legislatn: legislation
len: length
lettr: letter
lexic: lexicology
lgl: legal
lib: liberty
lim: limit
limn: limnology
ling: linguistics
lit: literature
loc: location
long: longitude
lowr: lower
lrg: large
lt: lot
ltr: letter
machlearn: machine learning
maj: major
malac: malacology
manag: management
mar: march
marbio: marine biology
margn: margin
martarts: martial arts
math: mathematics
max: maximum
meas: measurement
mech: mechanics
med school: medical school
med size: medium size
mem: memory
memo: memorandum
meta: metaphysics
mfg: manufacturing
mghertz: megahertz
mgmt: management
mi: miles
mid: middle
mil: military
min: minimum
mins: minutes
mk: make
ml: machine learning
mle: male
mm: month
mn: mean
mngr: manager
mnths: months
mnth: month
mon: month
mo: month
mobil: mobile
mod: modified
modificatn: modification
mond: monday
moto: motorcycle
mov: movie
mpg: miles per gallon
mps: mips
mrkt: marketing
mrktng: marketing
mth: month
mtn: mountain
mtrc: metric
mus: music
mycol: mycology
myst: mystery
myth: mythology
nano: nanotechnology
narr: narrative
nat: nature
natsci: natural science
nds: needs
nephr: nephrology
netw: networking
neurobio: neurobiology
neurol: neurology
neurosci: neuroscience
nm: name
norm: normalized
nov: november
nr: number
ntwrk: network
nul: null
num: number
numbr: number
numer: numerology
numis: numismatics
nurs: nursing
nursng: nursing
nutr: nutrition
nxt: next
objve: objective
obligtns: obligations
occpd: occupied
occurrnc: occurrence
oceano: oceanography
oct: october
odonto: odontography
ofc: office
off: office
onln: online
oper: operations
opn: open
opr: operator
optn: option
optom: optometry
ornith: ornithology
othr: other
outbnd: outbound
ovhd: overhead
pal: paleontology
pars: parasitology
pas: passenger
path: pathology
pay: payment
payrll: payroll
pchs: purchasing
pcode: postal code
pct: percentage
pctil: percentile
pd: period
perc: percentage
perm: permanent
pers: personnel
petitn: petition
petr: petrology
ph: phone
pharm: pharmacy
philanth: philanthropy
philol: philology
philos: philosophy
phn: phone
phon: phone
photochem: photochemistry
photog: photography
phys: physics
physiol: physiology
pic: photo
pk: primary key
plan: planning
plansci: planetary science
pln: plan
pls: plus
plumb: plumbing
pmt: payment
poet: poetry
polit: politics
politsci: political science
poly: polygon
por: portuguese
pos: position
poten: potential
povrty: poverty
pow: power
ppb: parts per billion
ppl: people
ppm: parts per million
ppnts: participants
pr: primary
prbatn: probation
prc: parcel
prcessed: processed
prdictor: predictor
prdominant: predominant
pred: prediction
pref: preference
prep: preparation
prev: previous
prfit: profit
pri: price
prid: pride
primatol: primatology
prmeter: perimeter
procrmnt: procurement
prod: product
prof: professor
prog: program
progm: programming
proj: project
prp: prop
prponent: proponent
pst: post
pstal: postal
psted: posted
psting: posting
psych: psychology
psycholing: psycholinguistics
psychophys: psychophysics
ptg: painting
pth: path
pty: party
pub: public
pubhealth: public health
publ: publishing
pubrel: public relations
pulm: pulmonology
pw: power
pymt: payment
qa: quality assurance
qlty: quality
qry: query
qt: quantity
qty: quantity
qual: quality
quantcomp: quantum computing
quantmech: quantum mechanics
quantphys: quantum physics
radiatn: radiation
radiol: radiology
rcd: record
rcnt: recent
rcpts: receipts
rcrd: record
rcv: received
rd: road
rec: recreation
recpt: receipt
recurrnc: recurrence
recy: recycling
reest: realestate
reg: region
rehab: rehabilitation
rehabilitatn: rehabilitation
relevnc: relevance
reliab: reliability
renen: renewableenergy
req: request
reqs: requirements
reqstd: requested
res: resources
reservatn: reservation
resmgmt: resource management
resp: responsible
resrc: resources
resrv: reserve
rev: revenue
revsn: revision
rheo: rheology
rm: room
rmt: remote
rng: range
rnk: rank
robo: robotics
rpt: report
rqst: request
rsdncy: residency
rsdnt: resident
rsk: risk
rt: rate
ru: russian
run: running
rw: row
sanit: sanitation
sat: saturday
sav: savings
sbgrp: subgroup
sbttl: subtotal
sc: succint description
sch: school
schl: school
scholrshp: scholarship
sci: science
scien: science
scrcr: scorecard
sctr: sector
sculp: sculpture
sd: standard deviation
sec: section
secty: security
secy: security
selfest: self-esteem
selfimp: self improvement
semio: semiotics
sep: september
ser: series
serv: service
sg: sign
sgner: signer
sht: shot
simul: simulation
singl: single
sit: situation
siz: size
ski: skiing
sl: soil
socbio: sociobiology
socc: soccer
socio: sociology
softdev: software development
softeng: software engineering
sol: solution
solr: solar
sou: sound
sp: space
spaceexp: space exploration
spch: speech
spd: speed
spec: spectroscopy
spnd: spending
spo: sport
sposci: sports science
spt: spot
srch: search
srt: start
stat: status
std: standard
stddev: standard deviation
stff: staff
strt: start
stu: student
stud: student
submsn: submission
sun: sunday
surg: surgery
surv: survey
sust: sustainability
svc: service
sym: symbolism
synbio: synthetic biology
sys: system
taxi: taxidermy
taxo: taxonomy
tchr: teacher
team: teamwork
tech: technology
tel: telecommunications
temp: temperature
templte: template
thea: theatre
theo: theology
ther: therapy
thermo: thermodynamics
tim: time
tit: title
tkn: taken
tkng: taking
tmp: temporary
tms: times
topo: topology
tour: tourism
toxic: toxicology
tp: type
tr: tree
trad: tradition
train: training
tran: transaction
trans: translation
trav: travel
trd: trade
trm: term
trned: turned
trp: trip
tsk: task
tst: test
ttl: total
tues: tuesday
tx: tax
txt: text
typ: type
typo: typography
typs: types
uk: unique key
uncmt: uncommitted
unemp: unemployment
unemploymnt: unemployment
uniq: unique
upld: upload
urb: urbanism
urbplan: urban planning
usr: user
vaca: vacation
vacc: vaccine
val: value
valuatn: valuation
vat: value added tax
veh: vehicle
vel: velocity
